DATE,CarSale
1992-01-01,1744
1992-02-01,1990
1992-03-01,2177
1992-04-01,2601
1992-05-01,2171
1992-06-01,2207
1992-07-01,2251
1992-08-01,2087
1992-09-01,2016
1992-10-01,2149
1992-11-01,1667
1992-12-01,1583
1993-01-01,2022
1993-02-01,2199
1993-03-01,2526
1993-04-01,2564
1993-05-01,2309
1993-06-01,2393
1993-07-01,2485
1993-08-01,2287
1993-09-01,2167
1993-10-01,2339
1993-11-01,2253
1993-12-01,2060
1994-01-01,2199
1994-02-01,2432
1994-03-01,2669
1994-04-01,2782
1994-05-01,2638
1994-06-01,2769
1994-07-01,2774
1994-08-01,3119
1994-09-01,2887
1994-10-01,3136
1994-11-01,2564
1994-12-01,2470
1995-01-01,2709
1995-02-01,2833
1995-03-01,3296
1995-04-01,2998
1995-05-01,3180
1995-06-01,3303
1995-07-01,3492
1995-08-01,3445
1995-09-01,3223
1995-10-01,3074
1995-11-01,2931
1995-12-01,2558
1996-01-01,2871
1996-02-01,3451
1996-03-01,4046
1996-04-01,3879
1996-05-01,3727
1996-06-01,3538
1996-07-01,3571
1996-08-01,3511
1996-09-01,3221
1996-10-01,3526
1996-11-01,3262
1996-12-01,3006
1997-01-01,3377
1997-02-01,3834
1997-03-01,4089
1997-04-01,4115
1997-05-01,4022
1997-06-01,4088
1997-07-01,4066
1997-08-01,3864
1997-09-01,3741
1997-10-01,3822
1997-11-01,3294
1997-12-01,3374
1998-01-01,3681
1998-02-01,4154
1998-03-01,4523
1998-04-01,4400
1998-05-01,4356
1998-06-01,4723
1998-07-01,4535
1998-08-01,4476
1998-09-01,4138
1998-10-01,4535
1998-11-01,3730
1998-12-01,3691
1999-01-01,4115
1999-02-01,4597
1999-03-01,4921
1999-04-01,4824
1999-05-01,4950
1999-06-01,5047
1999-07-01,4895
1999-08-01,4892
1999-09-01,4509
1999-10-01,4516
1999-11-01,4292
1999-12-01,4095
2000-01-01,4381
2000-02-01,5327
2000-03-01,5434
2000-04-01,4841
2000-05-01,4986
2000-06-01,5161
2000-07-01,4989
2000-08-01,5089
2000-09-01,4860
2000-10-01,4574
2000-11-01,4089
2000-12-01,3928
2001-01-01,4648
2001-02-01,4917
2001-03-01,5359
2001-04-01,4991
2001-05-01,5390
2001-06-01,5169
2001-07-01,4906
2001-08-01,5142
2001-09-01,4291
2001-10-01,4903
2001-11-01,4444
2001-12-01,4103
2002-01-01,4802
2002-02-01,5226
2002-03-01,5212
2002-04-01,5260
2002-05-01,5342
2002-06-01,5199
2002-07-01,5229
2002-08-01,5542
2002-09-01,4855
2002-10-01,5143
2002-11-01,4736
2002-12-01,4377
2003-01-01,5209
2003-02-01,5477
2003-03-01,5877
2003-04-01,5572
2003-05-01,5586
2003-06-01,5324
2003-07-01,5466
2003-08-01,5494
2003-09-01,5072
2003-10-01,5014
2003-11-01,4528
2003-12-01,4436
2004-01-01,5053
2004-02-01,5538
2004-03-01,6055
2004-04-01,5564
2004-05-01,5882
2004-06-01,5548
