DATE,DEXJPUS_PCH
1971-01-05,0.02236
1971-01-06,0.01397
1971-01-07,0.00279
1971-01-08,-0.01397
1971-01-11,0.03633
1971-01-12,0.03073
1971-01-13,0.10613
1971-01-14,-0.01116
1971-01-15,0.00000
1971-01-18,-0.03069
1971-01-19,0.01675
1971-01-20,0.01395
1971-01-21,-0.03627
1971-01-22,-0.10327
1971-01-25,-0.04750
1971-01-26,0.01398
1971-01-27,0.00280
1971-01-28,0.01118
1971-01-29,-0.03074
1971-02-01,-0.01398
1971-02-02,-0.03355
1971-02-03,-0.00280
1971-02-04,-0.00839
1971-02-05,0.00559
1971-02-08,-0.01119
1971-02-09,0.00280
1971-02-10,0.00000
1971-02-11,0.00000
1971-02-12,.
1971-02-15,.
1971-02-16,.
1971-02-17,0.00000
1971-02-18,0.00000
1971-02-19,0.00839
1971-02-22,0.01119
1971-02-23,-0.01398
1971-02-24,0.01398
1971-02-25,-0.01119
1971-02-26,0.00000
1971-03-01,0.01958
1971-03-02,-0.01957
1971-03-03,-0.01958
1971-03-04,-0.01119
1971-03-05,0.03917
1971-03-08,-0.01119
1971-03-09,-0.02517
1971-03-10,0.03637
1971-03-11,-0.00839
1971-03-12,0.00559
1971-03-15,-0.01119
1971-03-16,-0.01398
1971-03-17,0.01119
1971-03-18,0.00839
1971-03-19,0.00000
1971-03-22,-0.03356
1971-03-23,0.02518
1971-03-24,0.00000
1971-03-25,-0.01678
1971-03-26,0.00000
1971-03-29,-0.00839
1971-03-30,0.01399
1971-03-31,-0.01958
1971-04-01,0.01958
1971-04-02,0.01119
1971-04-05,-0.00839
1971-04-06,-0.01119
1971-04-07,0.02518
1971-04-08,0.00000
1971-04-09,-0.01398
1971-04-12,0.00000
1971-04-13,0.03357
1971-04-14,-0.01119
1971-04-15,-0.02237
1971-04-16,0.01119
1971-04-19,-0.01398
1971-04-20,0.00000
1971-04-21,0.00000
1971-04-22,0.00000
1971-04-23,0.00000
1971-04-26,0.00280
1971-04-27,-0.00280
1971-04-28,0.00280
1971-04-29,-0.02517
1971-04-30,-0.00280
1971-05-03,0.00280
1971-05-04,-0.00280
1971-05-05,0.00000
1971-05-06,0.00280
1971-05-07,0.00000
1971-05-10,-0.07554
1971-05-11,0.08400
1971-05-12,0.02518
1971-05-13,-0.01119
1971-05-14,0.00000
1971-05-17,-0.02518
1971-05-18,0.01119
1971-05-19,-0.01119
1971-05-20,0.01679
1971-05-21,-0.01679
1971-05-24,0.00000
1971-05-25,0.00000
1971-05-26,0.01119
1971-05-27,-0.01119
1971-05-28,0.00000
1971-05-31,.
1971-06-01,.
1971-06-02,-0.01679
1971-06-03,0.01679
1971-06-04,-0.01679
1971-06-07,0.00000
1971-06-08,0.00000
1971-06-09,0.00000
1971-06-10,0.00000
1971-06-11,0.00000
1971-06-14,0.00000
1971-06-15,0.01679
1971-06-16,0.00000
1971-06-17,0.00000
1971-06-18,-0.01679
1971-06-21,0.00000
1971-06-22,0.00000
1971-06-23,0.00000
1971-06-24,0.00000
1971-06-25,0.00000
1971-06-28,-0.00839
1971-06-29,0.00560
1971-06-30,0.00280
1971-07-01,0.00000
1971-07-02,0.00000
1971-07-05,.
1971-07-06,.
1971-07-07,0.00280
1971-07-08,0.00000
1971-07-09,-0.01679
1971-07-12,0.00280
1971-07-13,0.00839
1971-07-14,-0.01119
1971-07-15,0.00000
1971-07-16,0.00000
1971-07-19,-0.00280
1971-07-20,0.00000
1971-07-21,0.00280
1971-07-22,-0.00839
1971-07-23,-0.00280
1971-07-26,0.01119
1971-07-27,-0.00839
1971-07-28,0.00839
1971-07-29,0.00000
1971-07-30,-0.00280
1971-08-02,0.00560
1971-08-03,-0.01119
1971-08-04,0.00000
1971-08-05,0.00000
1971-08-06,0.00000
1971-08-09,-0.00560
1971-08-10,0.01119
1971-08-11,-0.01119
1971-08-12,0.01399
1971-08-13,-0.01399
1971-08-16,.
1971-08-17,.
1971-08-18,.
1971-08-19,.
1971-08-20,.
1971-08-23,.
1971-08-24,.
1971-08-25,.
1971-08-26,.
1971-08-27,.
1971-08-30,.
1971-08-31,.
1971-09-01,0.34133
1971-09-02,-0.59529
1971-09-03,0.34220
1971-09-06,.
1971-09-07,.
1971-09-08,-0.11772
1971-09-09,-0.09429
1971-09-10,-0.07668
1971-09-13,0.05018
1971-09-14,-0.21830
1971-09-15,0.05026
1971-09-16,-0.16843
1971-09-17,0.03256
1971-09-20,-0.20121
1971-09-21,0.02075
1971-09-22,0.02964
1971-09-23,-0.05038
1971-09-24,-0.08598
1971-09-27,-0.21663
1971-09-28,0.03271
1971-09-29,-0.23487
1971-09-30,-0.06556
1971-10-01,-0.58446
1971-10-04,-0.06599
1971-10-05,-0.00900
1971-10-06,-0.14709
1971-10-07,-0.01202
1971-10-08,-0.07216
1971-10-11,.
1971-10-12,.
1971-10-13,0.26625
1971-10-14,-0.16596
1971-10-15,-0.08161
1971-10-18,-0.29645
1971-10-19,0.37925
1971-10-20,0.06650
1971-10-21,-0.08457
1971-10-22,-0.12999
1971-10-25,.
1971-10-26,.
1971-10-27,0.16413
1971-10-28,0.05159
1971-10-29,-0.06369
1971-11-01,-0.01517
1971-11-02,.
1971-11-03,.
1971-11-04,0.41578
1971-11-05,-0.51682
1971-11-08,0.01823
1971-11-09,-0.01822
1971-11-10,-0.01519
1971-11-11,0.00000
1971-11-12,0.11546
1971-11-15,-0.23066
1971-11-16,-0.03346
1971-11-17,0.05477
1971-11-18,-0.03650
1971-11-19,-0.08519
1971-11-22,0.00305
1971-11-23,-0.06699
1971-11-24,-0.04571
1971-11-25,.
1971-11-26,.
1971-11-29,-0.16484
1971-11-30,0.11619
1971-12-01,0.04886
1971-12-02,-0.48840
1971-12-03,-0.27607
1971-12-06,0.43986
1971-12-07,-0.89119
1971-12-08,-0.03708
1971-12-09,0.00618
1971-12-10,-0.12982
1971-12-13,-0.09595
1971-12-14,-0.06506
1971-12-15,-0.32240
1971-12-16,-0.47895
1971-12-17,0.11250
1971-12-20,.
1971-12-21,.
1971-12-22,-0.00635
1971-12-23,0.01588
1971-12-24,0.06349
1971-12-27,-0.07931
1971-12-28,0.01588
1971-12-29,0.06349
1971-12-30,-0.06345
1971-12-31,0.00000
1972-01-03,-0.04762
1972-01-04,0.03176
1972-01-05,-0.03175
1972-01-06,-0.90516
1972-01-07,0.15705
1972-01-10,0.15680
1972-01-11,0.47286
1972-01-12,-0.31482
1972-01-13,0.15631
1972-01-14,-0.31213
1972-01-17,0.12460
1972-01-18,-0.15636
1972-01-19,-0.03196
1972-01-20,-0.24937
1972-01-21,0.09295
1972-01-24,-0.02882
1972-01-25,-0.12492
1972-01-26,-0.09300
1972-01-27,-0.46544
1972-01-28,0.12255
1972-01-31,0.03221
1972-02-01,-0.06118
1972-02-02,-0.58640
1972-02-03,0.18474
1972-02-04,-0.15528
1972-02-07,-0.15228
1972-02-08,-0.15576
1972-02-09,-0.94251
1972-02-10,-0.03281
1972-02-11,0.00000
1972-02-14,-0.15097
1972-02-15,-0.02958
1972-02-16,-0.06247
1972-02-17,0.00000
1972-02-18,-0.15134
1972-02-21,.
1972-02-22,.
1972-02-23,-0.12217
1972-02-24,-0.12232
1972-02-25,0.12247
1972-02-28,0.48598
1972-02-29,-0.18095
1972-03-01,-0.06262
1972-03-02,-0.05936
1972-03-03,-0.12210
1972-03-06,0.02974
1972-03-07,-0.14864
1972-03-08,-0.09262
1972-03-09,-0.11920
1972-03-10,0.08950
1972-03-13,0.12254
1972-03-14,-0.02977
1972-03-15,-0.03309
1972-03-16,-0.02979
1972-03-17,0.02980
1972-03-20,0.06289
1972-03-21,-0.06285
1972-03-22,0.00000
1972-03-23,-0.05958
1972-03-24,0.12254
1972-03-27,0.08932
1972-03-28,0.09254
1972-03-29,0.30378
1972-03-30,0.00000
1972-03-31,0.18106
1972-04-03,-0.05915
1972-04-04,0.27290
1972-04-05,0.06230
1972-04-06,-0.09176
1972-04-07,-0.54776
1972-04-10,-0.36278
1972-04-11,0.06289
1972-04-12,0.04300
1972-04-13,0.04629
1972-04-14,0.12229
1972-04-17,-0.12214
1972-04-18,-0.05949
1972-04-19,0.18188
1972-04-20,0.02971
1972-04-21,0.05940
1972-04-24,0.64312
1972-04-25,-0.27527
1972-04-26,-0.18073
1972-04-27,0.15143
1972-04-28,0.21365
1972-05-01,-0.15416
1972-05-02,-0.05913
1972-05-03,0.02958
1972-05-04,-0.02957
1972-05-05,0.02958
1972-05-08,0.24317
1972-05-09,-0.02950
1972-05-10,-0.39348
1972-05-11,-0.06255
1972-05-12,0.09223
1972-05-15,0.15139
1972-05-16,0.02957
1972-05-17,0.03285
1972-05-18,0.02956
1972-05-19,-0.18385
1972-05-22,0.12169
1972-05-23,-0.05913
1972-05-24,0.02958
1972-05-25,0.00000
1972-05-26,0.02957
1972-05-29,.
1972-05-30,.
1972-05-31,-0.21288
1972-06-01,-0.09190
1972-06-02,-0.05913
1972-06-05,0.15120
1972-06-06,-0.05908
1972-06-07,-0.03284
1972-06-08,-0.02957
1972-06-09,-0.02957
1972-06-12,0.09204
1972-06-13,-0.15435
1972-06-14,-0.02960
1972-06-15,0.02961
1972-06-16,-0.02960
1972-06-19,-0.02961
1972-06-20,-0.15139
1972-06-21,-0.15162
1972-06-22,-0.28719
1972-06-23,-2.63184
1972-06-26,1.49259
1972-06-27,0.00000
1972-06-28,-0.59294
1972-06-29,1.35135
1972-06-30,0.05985
1972-07-03,-0.02991
1972-07-04,.
1972-07-05,.
1972-07-06,0.17998
1972-07-07,0.11977
1972-07-10,0.12295
1972-07-11,0.08961
1972-07-12,-0.12269
1972-07-13,-0.05976
