OBS,STARTS,COMPS
1968-01-01,1.38,1.257
1968-02-01,1.52,1.174
1968-03-01,1.466,1.323
1968-04-01,1.554,1.328
1968-05-01,1.408,1.367
1968-06-01,1.405,1.184
1968-07-01,1.512,1.37
1968-08-01,1.495,1.279
1968-09-01,1.556,1.397
1968-10-01,1.569,1.348
1968-11-01,1.63,1.367
1968-12-01,1.548,1.39
1969-01-01,1.769,1.257
1969-02-01,1.705,1.414
1969-03-01,1.561,1.558
1969-04-01,1.524,1.318
1969-05-01,1.583,1.43
1969-06-01,1.528,1.455
1969-07-01,1.368,1.432
1969-08-01,1.358,1.393
1969-09-01,1.507,1.367
1969-10-01,1.381,1.406
1969-11-01,1.229,1.404
1969-12-01,1.327,1.402
1970-01-01,1.085,1.434
1970-02-01,1.305,1.43
1970-03-01,1.319,1.317
1970-04-01,1.264,1.354
1970-05-01,1.29,1.334
1970-06-01,1.385,1.431
1970-07-01,1.517,1.384
1970-08-01,1.399,1.609
1970-09-01,1.534,1.383
1970-10-01,1.58,1.437
1970-11-01,1.647,1.457
1970-12-01,1.893,1.437
1971-01-01,1.828,1.471
1971-02-01,1.741,1.448
1971-03-01,1.91,1.489
1971-04-01,1.986,1.709
1971-05-01,2.049,1.637
1971-06-01,2.026,1.637
1971-07-01,2.083,1.699
1971-08-01,2.158,1.896
1971-09-01,2.041,1.804
1971-10-01,2.128,1.815
1971-11-01,2.182,1.844
1971-12-01,2.295,1.895
1972-01-01,2.494,1.942
1972-02-01,2.39,2.061
1972-03-01,2.334,1.981
1972-04-01,2.249,1.97
1972-05-01,2.221,1.896
1972-06-01,2.254,1.936
1972-07-01,2.252,1.93
1972-08-01,2.382,2.102
1972-09-01,2.481,2.053
1972-10-01,2.485,1.995
1972-11-01,2.421,1.985
1972-12-01,2.366,2.121
1973-01-01,2.481,2.162
1973-02-01,2.289,2.124
1973-03-01,2.365,2.196
1973-04-01,2.084,2.195
1973-05-01,2.266,2.299
1973-06-01,2.067,2.258
1973-07-01,2.123,2.066
1973-08-01,2.051,2.056
1973-09-01,1.874,2.061
1973-10-01,1.677,2.052
1973-11-01,1.724,1.925
1973-12-01,1.526,1.869
1974-01-01,1.451,1.932
1974-02-01,1.752,1.938
1974-03-01,1.555,1.806
1974-04-01,1.607,1.83
1974-05-01,1.426,1.715
1974-06-01,1.513,1.897
1974-07-01,1.316,1.695
1974-08-01,1.142,1.634
1974-09-01,1.15,1.651
1974-10-01,1.07,1.63
1974-11-01,1.026,1.59
1974-12-01,0.975,1.54
1975-01-01,1.032,1.588
1975-02-01,0.904,1.346
1975-03-01,0.993,1.293
1975-04-01,1.005,1.278
1975-05-01,1.121,1.349
1975-06-01,1.087,1.234
1975-07-01,1.226,1.276
1975-08-01,1.26,1.29
1975-09-01,1.264,1.333
1975-10-01,1.344,1.134
1975-11-01,1.36,1.383
1975-12-01,1.321,1.306
