"Y1"	"Y10"	"Y20"	"Y30"
2.36	2.83	3.08	NA
2.48	3.05	3.18	NA
2.45	3.11	3.21	NA
2.38	2.93	3.12	NA
2.28	2.95	3.1	NA
2.2	2.87	3.07	NA
1.79	2.66	2.95	NA
1.67	2.68	2.95	NA
1.66	2.59	2.89	NA
1.41	2.48	2.8	NA
1.14	2.47	2.72	NA
1.13	2.37	2.61	NA
0.96	2.29	2.6	NA
0.85	2.37	2.66	NA
0.82	2.38	2.64	NA
0.84	2.3	2.57	NA
0.88	2.36	2.58	NA
1.03	2.38	2.6	NA
1.17	2.43	2.61	NA
1.14	2.48	2.65	NA
1.21	2.51	2.67	NA
1.39	2.61	2.75	NA
1.57	2.65	2.83	NA
1.59	2.68	2.84	NA
1.75	2.75	2.85	NA
1.9	2.76	2.87	NA
1.91	2.78	2.86	NA
2.02	2.9	2.94	NA
2.37	2.97	3.01	NA
2.36	2.97	3	NA
2.39	2.88	2.93	NA
2.48	2.89	2.93	NA
2.73	2.96	2.98	NA
2.58	2.9	2.94	NA
2.49	2.84	2.91	NA
2.61	2.96	2.99	NA
2.92	3.18	3.14	NA
2.94	3.07	3.06	NA
2.74	3	3	NA
2.76	3.11	3.08	NA
3.1	3.33	3.22	NA
3.35	3.38	3.28	NA
3.28	3.34	3.26	NA
3.44	3.49	3.37	NA
3.68	3.59	3.45	NA
3.37	3.46	3.41	NA
3.38	3.34	3.3	NA
3.42	3.41	3.32	NA
3.49	3.48	3.4	NA
3.48	3.6	3.49	NA
3.65	3.8	3.65	NA
3.81	3.93	3.72	NA
4.01	3.93	3.75	NA
4.07	3.92	3.73	NA
4.01	3.97	3.76	NA
3.57	3.72	3.61	NA
3.18	3.21	3.38	NA
2.65	3.09	3.27	NA
1.99	3.05	3.31	NA
1.84	2.98	3.29	NA
1.45	2.88	3.17	NA
1.37	2.92	3.17	NA
1.23	2.97	3.23	NA
1.61	3.2	3.39	NA
2.5	3.54	3.65	NA
3.05	3.76	3.8	NA
3.19	3.8	3.81	NA
3.1	3.74	3.76	NA
3.29	3.86	3.86	NA
3.36	4.02	3.95	NA
3.54	3.96	3.96	NA
3.61	3.99	3.99	NA
3.72	4.12	4.06	NA
3.96	4.31	4.13	NA
4.07	4.34	4.14	NA
4.39	4.4	4.16	NA
4.42	4.43	4.15	NA
5	4.68	4.29	NA
