Date,HSTARTS
1946-01-01,57
1946-02-01,65
1946-03-01,95
1946-04-01,103
1946-05-01,103
1946-06-01,97
1946-07-01,94
1946-08-01,96
1946-09-01,88
1946-10-01,86
1946-11-01,72
1946-12-01,59
1947-01-01,58
1947-02-01,65
1947-03-01,84
1947-04-01,101
1947-05-01,109
1947-06-01,115
1947-07-01,121
1947-08-01,129
1947-09-01,139
1947-10-01,139
1947-11-01,118
1947-12-01,87
1948-01-01,78
1948-02-01,73
1948-03-01,112
1948-04-01,145
1948-05-01,146
1948-06-01,142
1948-07-01,137
1948-08-01,125
1948-09-01,118
1948-10-01,105
1948-11-01,90
1948-12-01,73
1949-01-01,69
1949-02-01,70
1949-03-01,96
1949-04-01,124
1949-05-01,133
1949-06-01,132
1949-07-01,134
1949-08-01,139
1949-09-01,144
1949-10-01,146
1949-11-01,133
1949-12-01,110
1950-01-01,110
1950-02-01,116
1950-03-01,164
1950-04-01,185
1950-05-01,206
1950-06-01,201
1950-07-01,197
1950-08-01,194
1950-09-01,163
1950-10-01,141
1950-11-01,116
1950-12-01,115
1951-01-01,115
1951-02-01,107
1951-03-01,125
1951-04-01,128
1951-05-01,135
1951-06-01,139
1951-07-01,120
1951-08-01,120
1951-09-01,130
1951-10-01,121
1951-11-01,99
1951-12-01,81
1952-01-01,84
1952-02-01,101
1952-03-01,127
1952-04-01,133
1952-05-01,138
1952-06-01,132
1952-07-01,136
1952-08-01,130
1952-09-01,132
1952-10-01,132
1952-11-01,110
1952-12-01,91
1953-01-01,91
1953-02-01,99
1953-03-01,129
1953-04-01,142
1953-05-01,139
1953-06-01,134
1953-07-01,125
1953-08-01,120
1953-09-01,120
1953-10-01,116
1953-11-01,104
1953-12-01,83
1954-01-01,84
1954-02-01,95
1954-03-01,120
1954-04-01,136
1954-05-01,137
1954-06-01,145
1954-07-01,144
1954-08-01,144
1954-09-01,144
1954-10-01,140
1954-11-01,130
1954-12-01,113
1955-01-01,110
1955-02-01,110
1955-03-01,141
1955-04-01,163
1955-05-01,169
1955-06-01,164
1955-07-01,151
1955-08-01,151
1955-09-01,140
1955-10-01,129
1955-11-01,109
1955-12-01,90
1956-01-01,90
1956-02-01,94
1956-03-01,115
1956-04-01,134
1956-05-01,135
1956-06-01,127
1956-07-01,120
1956-08-01,124
1956-09-01,109
1956-10-01,110
1956-11-01,92
1956-12-01,75
1957-01-01,72
1957-02-01,76
1957-03-01,95
1957-04-01,108
1957-05-01,115
1957-06-01,112
1957-07-01,111
1957-08-01,114
1957-09-01,106
1957-10-01,105
1957-11-01,88
1957-12-01,73
1958-01-01,74
1958-02-01,71
1958-03-01,90
1958-04-01,109
1958-05-01,117
1958-06-01,118
1958-07-01,125
1958-08-01,132
1958-09-01,128
1958-10-01,128
1958-11-01,121
1958-12-01,101
1959-01-01,96.1999969482
1959-02-01,99
1959-03-01,127.699996948
1959-04-01,150.800003052
1959-05-01,152.5
1959-06-01,147.800003052
1959-07-01,148.100006104
1959-08-01,138.199996948
1959-09-01,136.399993896
1959-10-01,120
1959-11-01,104.699996948
1959-12-01,95.5999984741
1960-01-01,86
1960-02-01,90.6999969482
1960-03-01,90.5
1960-04-01,123
1960-05-01,130.199996948
1960-06-01,122.800003052
1960-07-01,114.300003052
1960-08-01,130.300003052
1960-09-01,96.9000015259
1960-10-01,110.400001526
1960-11-01,92.8000030518
1960-12-01,64.1999969482
1961-01-01,70.4000015259
1961-02-01,74.0999984741
1961-03-01,104.199996948
1961-04-01,112.800003052
1961-05-01,127.599998474
1961-06-01,134.800003052
1961-07-01,126.599998474
1961-08-01,127.099998474
1961-09-01,125.400001526
1961-10-01,124.800003052
1961-11-01,103
1961-12-01,82.1999969482
1962-01-01,81.1999969482
1962-02-01,77.0999984741
1962-03-01,116.199996948
1962-04-01,147.800003052
1962-05-01,155.199996948
1962-06-01,136.800003052
1962-07-01,136.5
1962-08-01,147.699996948
1962-09-01,114.300003052
1962-10-01,135.199996948
1962-11-01,120.900001526
1962-12-01,93.9000015259
1963-01-01,79
1963-02-01,89.5999984741
1963-03-01,124.800003052
1963-04-01,164.199996948
1963-05-01,172.699996948
1963-06-01,154.199996948
1963-07-01,151.300003052
1963-08-01,144
1963-09-01,143.699996948
1963-10-01,165.300003052
1963-11-01,119.300003052
1963-12-01,95
1964-01-01,97.9000015259
1964-02-01,101.300003052
1964-03-01,129.100006104
