DATE,ILICLAIMS
2010-01-02,20572
2010-01-09,28610
2010-01-16,22145
2010-01-23,17310
2010-01-30,20372
2010-02-06,18557
2010-02-13,14699
2010-02-20,15859
2010-02-27,16425
2010-03-06,18886
2010-03-13,15036
2010-03-20,16432
2010-03-27,14560
2010-04-03,16810
2010-04-10,17288
2010-04-17,13709
2010-04-24,13649
2010-05-01,14260
2010-05-08,14911
2010-05-15,16065
2010-05-22,15102
2010-05-29,16011
2010-06-05,17582
2010-06-12,20063
2010-06-19,16352
2010-06-26,15006
2010-07-03,18040
2010-07-10,16713
2010-07-17,19896
2010-07-24,16427
2010-07-31,14371
2010-08-07,15521
2010-08-14,14323
2010-08-21,13976
2010-08-28,11862
2010-09-04,11323
2010-09-11,11458
2010-09-18,17407
2010-09-25,15026
2010-10-02,14280
2010-10-09,16945
2010-10-16,13508
2010-10-23,17218
2010-10-30,16221
2010-11-06,17121
2010-11-13,15914
2010-11-20,19362
2010-11-27,16269
2010-12-04,25553
2010-12-11,24003
2010-12-18,20854
2010-12-25,19007
2011-01-01,19100
2011-01-08,30311
2011-01-15,20156
2011-01-22,16165
2011-01-29,16716
2011-02-05,15003
2011-02-12,13874
2011-02-19,14404
2011-02-26,11810
2011-03-05,14133
2011-03-12,12718
2011-03-19,12992
2011-03-26,13556
2011-04-02,14569
2011-04-09,14587
2011-04-16,12548
2011-04-23,14063
2011-04-30,15400
2011-05-07,14211
2011-05-14,12789
2011-05-21,13277
2011-05-28,14358
2011-06-04,15113
2011-06-11,17430
2011-06-18,14873
2011-06-25,14923
2011-07-02,15205
2011-07-09,13806
2011-07-16,13223
2011-07-23,13054
2011-07-30,12245
2011-08-06,13233
2011-08-13,13616
2011-08-20,13558
2011-08-27,13222
2011-09-03,14059
2011-09-10,11701
2011-09-17,12632
2011-09-24,12786
2011-10-01,13540
2011-10-08,15019
2011-10-15,12494
2011-10-22,14551
2011-10-29,14060
2011-11-05,16576
2011-11-12,15122
2011-11-19,18204
2011-11-26,14442
2011-12-03,22341
2011-12-10,22165
2011-12-17,19073
2011-12-24,23279
2011-12-31,18583
2012-01-07,21156
2012-01-14,19197
2012-01-21,16255
2012-01-28,15434
2012-02-04,16195
2012-02-11,14883
2012-02-18,13111
2012-02-25,12896
2012-03-03,14196
2012-03-10,12906
2012-03-17,11967
2012-03-24,11882
2012-03-31,12806
2012-04-07,15129
2012-04-14,13138
2012-04-21,12833
2012-04-28,14345
2012-05-05,14519
2012-05-12,13203
2012-05-19,13086
2012-05-26,14884
2012-06-02,14245
2012-06-09,16080
2012-06-16,14084
2012-06-23,13696
2012-06-30,12893
2012-07-07,15479
2012-07-14,13423
2012-07-21,13038
2012-07-28,12188
2012-08-04,13353
2012-08-11,12130
2012-08-18,12165
2012-08-25,11426
2012-09-01,11694
2012-09-08,11641
2012-09-15,11786
2012-09-22,12049
2012-09-29,12314
2012-10-06,14114
2012-10-13,13583
2012-10-20,14188
2012-10-27,14001
2012-11-03,14574
2012-11-10,15145
2012-11-17,15684
2012-11-24,15274
2012-12-01,23752
2012-12-08,21799
2012-12-15,19707
2012-12-22,23152
2012-12-29,20397
2013-01-05,18099
2013-01-12,19620
2013-01-19,19005
2013-01-26,14140
2013-02-02,15575
2013-02-09,14238
2013-02-16,10953
2013-02-23,12735
2013-03-02,12974
2013-03-09,11802
2013-03-16,11444
2013-03-23,12032
2013-03-30,14181
2013-04-06,15761
2013-04-13,13306
2013-04-20,12110
2013-04-27,13854
2013-05-04,14053
2013-05-11,13860
2013-05-18,12662
2013-05-25,13627
2013-06-01,13597
2013-06-08,16961
2013-06-15,13560
2013-06-22,12262
2013-06-29,12647
2013-07-06,12967
2013-07-13,13213
2013-07-20,13596
2013-07-27,12971
2013-08-03,11972
2013-08-10,11946
2013-08-17,11641
2013-08-24,11591
2013-08-31,11834
2013-09-07,11472
2013-09-14,11911
2013-09-21,11306
2013-09-28,11056
2013-10-05,11913
2013-10-12,14091
2013-10-19,11194
2013-10-26,13654
2013-11-02,13783
2013-11-09,14131
2013-11-16,13513
2013-11-23,16151
2013-11-30,13757
2013-12-07,19038
2013-12-14,22724
2013-12-21,19215
2013-12-28,19036
2014-01-04,17846
2014-01-11,22102
2014-01-18,16963
2014-01-25,14479
2014-02-01,13906
2014-02-08,14547
2014-02-15,11767
2014-02-22,10193
2014-03-01,11982
2014-03-08,12572
2014-03-15,10252
2014-03-22,10487
2014-03-29,11428
2014-04-05,12648
2014-04-12,12077
2014-04-19,10657
2014-04-26,10136
2014-05-03,10782
2014-05-10,10244
2014-05-17,11105
2014-05-24,9698
2014-05-31,10352
2014-06-07,13600
2014-06-14,13305
2014-06-21,11978
2014-06-28,10735
2014-07-05,11072
2014-07-12,12607
2014-07-19,10697
2014-07-26,9516
2014-08-02,9766
2014-08-09,10306
2014-08-16,8864
2014-08-23,9477
2014-08-30,8844
2014-09-06,9756
2014-09-13,9118
2014-09-20,8795
2014-09-27,8372
2014-10-04,9687
2014-10-11,10016
2014-10-18,9684
2014-10-25,10268
