DATE,MSPMW
1963-01-01,9.76996
1963-04-01,9.78132
1963-07-01,9.78695
1963-10-01,9.85744
1964-01-01,9.83628
1964-04-01,9.89344
1964-07-01,9.84692
1964-10-01,9.94271
1965-01-01,9.99424
1965-04-01,9.94271
1965-07-01,10.00333
1965-10-01,9.95703
1966-01-01,10.02127
1966-04-01,10.05621
1966-07-01,10.08997
1966-10-01,10.07323
1967-01-01,10.04325
1967-04-01,10.16200
1967-07-01,10.08997
1967-10-01,10.19988
1968-01-01,10.19988
1968-04-01,10.24708
1968-07-01,10.19616
1968-10-01,10.22919
1969-01-01,10.21464
1969-04-01,10.26465
1969-07-01,10.26465
1969-10-01,10.18112
1970-01-01,10.25766
1970-04-01,10.12663
1970-07-01,10.07744
1970-10-01,10.03012
1971-01-01,10.20729
1971-04-01,10.23279
1971-07-01,10.22557
1971-10-01,10.17351
1972-01-01,10.25062
1972-04-01,10.25414
1972-07-01,10.31560
1972-10-01,10.33527
1973-01-01,10.35774
1973-04-01,10.37972
1973-07-01,10.41930
1973-10-01,10.46310
1974-01-01,10.46880
1974-04-01,10.49127
1974-07-01,10.49681
1974-10-01,10.53210
1975-01-01,10.52943
1975-04-01,10.58911
1975-07-01,10.57898
1975-10-01,10.64304
1976-01-01,10.65726
1976-04-01,10.73204
1976-07-01,10.69422
1976-10-01,10.78726
1977-01-01,10.77059
1977-04-01,10.83565
1977-07-01,10.84154
1977-10-01,10.94022
1978-01-01,10.90962
1978-04-01,10.98020
1978-07-01,11.02517
1978-10-01,11.05406
1979-01-01,11.02354
1979-04-01,11.08675
1979-07-01,11.07131
1979-10-01,11.05248
1980-01-01,11.07752
1980-04-01,11.00377
1980-07-01,11.06664
1980-10-01,11.06976
1981-01-01,11.13167
1981-04-01,11.11095
1981-07-01,11.06037
1981-10-01,11.09133
1982-01-01,11.10345
1982-04-01,11.13605
1982-07-01,11.07906
1982-10-01,11.23585
1983-01-01,11.25156
1983-04-01,11.29228
1983-07-01,11.30836
1983-10-01,11.26575
1984-01-01,11.30713
1984-04-01,11.36674
1984-07-01,11.37939
1984-10-01,11.36790
1985-01-01,11.29103
1985-04-01,11.28477
1985-07-01,11.26702
1985-10-01,11.31203
