DATE,SP500_PCH
2011-04-05,-0.01801
2011-04-06,0.21837
2011-04-07,-0.15200
2011-04-08,-0.40045
2011-04-11,-0.27933
2011-04-12,-0.77768
2011-04-13,0.01902
2011-04-14,0.00837
2011-04-15,0.39254
2011-04-18,-1.10178
2011-04-19,0.57312
2011-04-20,1.35150
2011-04-21,0.52768
2011-04-22,.
2011-04-25,.
2011-04-26,0.89796
2011-04-27,0.62498
2011-04-28,0.35555
2011-04-29,0.23007
2011-05-02,-0.17527
2011-05-03,-0.33793
2011-05-04,-0.68553
2011-05-05,-0.90699
2011-05-06,0.38199
2011-05-09,0.45441
2011-05-10,0.80740
2011-05-11,-1.11114
2011-05-12,0.48954
2011-05-13,-0.80673
2011-05-16,-0.62044
2011-05-17,-0.03686
2011-05-18,0.88037
2011-05-19,0.21780
2011-05-20,-0.76883
2011-05-23,-1.19256
2011-05-24,-0.08274
2011-05-25,0.31832
2011-05-26,0.39531
2011-05-27,0.40809
2011-05-30,.
2011-05-31,.
2011-06-01,-2.27847
2011-06-02,-0.12248
2011-06-03,-0.97339
2011-06-06,-1.07602
2011-06-07,-0.09563
2011-06-08,-0.41870
2011-06-09,0.73775
2011-06-10,-1.39798
2011-06-13,0.06688
2011-06-14,1.26117
2011-06-15,-1.74319
2011-06-16,0.17544
2011-06-17,0.30450
2011-06-20,0.53952
2011-06-21,1.34234
2011-06-22,-0.64684
2011-06-23,-0.28280
2011-06-24,-1.17257
2011-06-27,0.91844
2011-06-28,1.29443
2011-06-29,0.82828
2011-06-30,1.01192
2011-07-01,1.44097
2011-07-04,.
2011-07-05,.
2011-07-06,0.10016
2011-07-07,1.04538
2011-07-08,-0.69612
2011-07-11,-1.80905
2011-07-12,-0.44335
2011-07-13,0.31059
2011-07-14,-0.67161
2011-07-15,0.55544
2011-07-18,-0.81298
2011-07-19,1.63087
2011-07-20,-0.06708
2011-07-21,1.35461
2011-07-22,0.09079
2011-07-25,-0.56430
2011-07-26,-0.41049
2011-07-27,-2.03087
2011-07-28,-0.32340
2011-07-29,-0.64505
2011-08-01,-0.41322
2011-08-02,-2.55567
2011-08-03,0.50157
2011-08-04,-4.78204
2011-08-05,-0.05750
2011-08-08,-6.66344
2011-08-09,4.74068
2011-08-10,-4.41524
2011-08-11,4.62900
2011-08-12,0.52616
2011-08-15,2.17847
2011-08-16,-0.97386
2011-08-17,0.09474
2011-08-18,-4.45937
2011-08-19,-1.50090
2011-08-22,0.02581
2011-08-23,3.42848
2011-08-24,1.31200
2011-08-25,-1.55656
2011-08-26,1.51216
2011-08-29,2.82801
2011-08-30,0.23470
2011-08-31,0.49220
2011-09-01,-1.18715
2011-09-02,-2.52819
2011-09-05,.
2011-09-06,.
2011-09-07,2.86465
2011-09-08,-1.06122
2011-09-09,-2.67055
2011-09-12,0.69657
2011-09-13,0.91201
2011-09-14,1.34798
2011-09-15,1.71871
2011-09-16,0.57067
2011-09-19,-0.98026
2011-09-20,-0.16610
2011-09-21,-2.93905
2011-09-22,-3.18832
2011-09-23,0.60820
2011-09-26,2.33362
2011-09-27,1.06883
2011-09-28,-2.06912
2011-09-29,0.81143
2011-09-30,-2.49741
2011-10-03,-2.84510
2011-10-04,2.24885
2011-10-05,1.78656
2011-10-06,1.83037
2011-10-07,-0.81633
2011-10-10,3.41249
2011-10-11,0.05440
2011-10-12,0.97947
2011-10-13,-0.29737
2011-10-14,1.73803
2011-10-17,-1.93699
2011-10-18,2.04187
2011-10-19,-1.26491
2011-10-20,0.45542
2011-10-21,1.88088
2011-10-24,1.28730
2011-10-25,-2.00448
2011-10-26,1.05366
2011-10-27,3.42915
2011-10-28,0.03892
2011-10-31,-2.47376
2011-11-01,-2.79422
2011-11-02,1.61047
2011-11-03,1.87818
2011-11-04,-0.62800
2011-11-07,0.62957
2011-11-08,1.17356
2011-11-09,-3.66951
2011-11-10,0.86161
2011-11-11,1.94887
2011-11-14,-0.95502
2011-11-15,0.48171
2011-11-16,-1.66162
2011-11-17,-1.67999
2011-11-18,-0.03947
2011-11-21,-1.86485
2011-11-22,-0.41409
2011-11-23,-2.20952
2011-11-24,.
2011-11-25,.
2011-11-28,2.92404
2011-11-29,0.22137
2011-11-30,4.33153
2011-12-01,-0.19086
2011-12-02,-0.02410
2011-12-05,1.02871
2011-12-06,0.11057
2011-12-07,0.20183
2011-12-08,-2.11418
2011-12-09,1.68834
2011-12-12,-1.49141
2011-12-13,-0.86860
2011-12-14,-1.13483
2011-12-15,0.32431
2011-12-16,0.32161
2011-12-19,-1.17328
2011-12-20,2.98254
2011-12-21,0.19496
2011-12-22,0.82655
2011-12-23,0.90351
2011-12-26,.
2011-12-27,.
2011-12-28,-1.24780
2011-12-29,1.07071
2011-12-30,-0.42913
2012-01-02,.
2012-01-03,.
2012-01-04,0.01879
2012-01-05,0.29437
2012-01-06,-0.25370
2012-01-09,0.22617
2012-01-10,0.88858
2012-01-11,0.03096
2012-01-12,0.23366
2012-01-13,-0.49479
2012-01-16,.
2012-01-17,.
2012-01-18,1.11079
2012-01-19,0.49387
2012-01-20,0.06695
2012-01-23,0.04713
2012-01-24,-0.10258
2012-01-25,0.86715
2012-01-26,-0.57464
2012-01-27,-0.15928
2012-01-30,-0.25222
2012-01-31,-0.04570
2012-02-01,0.88997
2012-02-02,0.10951
2012-02-03,1.46054
2012-02-06,-0.04238
2012-02-07,0.20233
2012-02-08,0.21603
2012-02-09,0.14741
2012-02-10,-0.68863
2012-02-13,0.68000
2012-02-14,-0.09395
2012-02-15,-0.53832
2012-02-16,1.10257
2012-02-17,0.23490
2012-02-20,.
2012-02-21,.
2012-02-22,-0.33402
2012-02-23,0.42721
2012-02-24,0.16722
2012-02-27,0.13546
2012-02-28,0.33563
2012-02-29,-0.47370
2012-03-01,0.61581
2012-03-02,-0.32458
2012-03-05,-0.38697
2012-03-06,-1.53702
2012-03-07,0.69006
2012-03-08,0.98179
2012-03-09,0.36313
2012-03-12,0.01605
2012-03-13,1.81316
2012-03-14,-0.11963
2012-03-15,0.59672
2012-03-16,0.11193
2012-03-19,0.39739
2012-03-20,-0.30005
2012-03-21,-0.18712
2012-03-22,-0.72066
2012-03-23,0.31089
2012-03-26,1.38858
2012-03-27,-0.28168
2012-03-28,-0.49415
2012-03-29,-0.16079
2012-03-30,0.36985
2012-04-02,0.75046
2012-04-03,-0.39886
2012-04-04,-1.02025
2012-04-05,-0.06290
2012-04-06,.
2012-04-09,.
2012-04-10,-1.70815
2012-04-11,0.74489
2012-04-12,1.37794
2012-04-13,-1.24750
2012-04-16,-0.05036
2012-04-17,1.54866
2012-04-18,-0.40553
2012-04-19,-0.59344
2012-04-20,0.11693
2012-04-23,-0.84075
2012-04-24,0.36798
2012-04-25,1.36446
2012-04-26,0.66801
2012-04-27,0.24143
2012-04-30,-0.38835
2012-05-01,0.56584
2012-05-02,-0.24968
2012-05-03,-0.76588
2012-05-04,-1.61472
2012-05-07,0.03506
2012-05-08,-0.42787
2012-05-09,-0.67023
2012-05-10,0.25174
2012-05-11,-0.33874
2012-05-14,-1.11128
2012-05-15,-0.57459
2012-05-16,-0.44038
2012-05-17,-1.50513
2012-05-18,-0.73878
2012-05-21,1.60359
2012-05-22,0.04863
2012-05-23,0.16937
2012-05-24,0.13800
2012-05-25,-0.21656
2012-05-28,.
2012-05-29,.
