Domestic Passenger - Revenue Passenger Miles  (January 2000 - November 2023)
Unit: (000)

Period,Scheduled
"January 2000","34913749"
"February 2000","36005847"
"March 2000","43901516"
"April 2000","41954244"
"May 2000","43168824"
"June 2000","45856363"
"July 2000","47303803"
"August 2000","46457758"
"September 2000","38372644"
"October 2000","41820446"
"November 2000","40712967"
"December 2000","39656140"
"January 2001","37179562"
"February 2001","35784235"
"March 2001","44208143"
"April 2001","42363481"
"May 2001","42517548"
"June 2001","45304289"
"July 2001","48067498"
"August 2001","48579798"
"September 2001","26230752"
"October 2001","33428069"
"November 2001","34035501"
"December 2001","34900093"
"January 2002","32996179"
"February 2002","32587181"
"March 2002","41424662"
"April 2002","38475773"
"May 2002","39908390"
"June 2002","42899467"
"July 2002","45270461"
"August 2002","45415533"
"September 2002","34211925"
"October 2002","39065248"
"November 2002","36348009"
"December 2002","41361303"
"January 2003","36211422"
"February 2003","34148439"
"March 2003","41774564"
"April 2003","39465980"
"May 2003","41001934"
"June 2003","44492972"
"July 2003","48321924"
"August 2003","46982527"
"September 2003","36819820"
"October 2003","41480412"
"November 2003","39333528"
"December 2003","42699596"
"January 2004","38114607"
"February 2004","38575084"
"March 2004","46507739"
"April 2004","45795662"
"May 2004","45350262"
"June 2004","49774219"
"July 2004","52730292"
"August 2004","50816430"
"September 2004","40644161"
"October 2004","45765588"
"November 2004","43561708"
"December 2004","45181080"
"January 2005","41609095"
"February 2005","40114944"
"March 2005","50789921"
"April 2005","47002623"
"May 2005","49016422"
"June 2005","52181786"
"July 2005","55290372"
"August 2005","52510003"
"September 2005","43524915"
"October 2005","45895538"
"November 2005","45109831"
"December 2005","46190194"
"January 2006","42966268"
"February 2006","40927215"
"March 2006","50693391"
"April 2006","48800883"
"May 2006","49302219"
"June 2006","52200272"
"July 2006","54506446"
"August 2006","52074386"
"September 2006","43108587"
"October 2006","47137132"
"November 2006","45966808"
"December 2006","46835639"
"January 2007","43823680"
"February 2007","41270274"
"March 2007","51518429"
"April 2007","49772604"
"May 2007","51031835"
"June 2007","54018698"
"July 2007","56572991"
"August 2007","55682567"
"September 2007","45240435"
"October 2007","49069269"
"November 2007","47256388"
"December 2007","47070645"
"January 2008","44233383"
"February 2008","43429251"
"March 2008","52016986"
"April 2008","48189445"
"May 2008","50259915"
"June 2008","52521313"
"July 2008","54621355"
"August 2008","52643147"
"September 2008","41015590"
"October 2008","44913078"
"November 2008","40578576"
"December 2008","43824845"
"January 2009","39299677"
"February 2009","37640543"
"March 2009","46517762"
"April 2009","45419277"
"May 2009","45980485"
"June 2009","49290282"
"July 2009","52704805"
"August 2009","50467291"
"September 2009","41656740"
"October 2009","44781576"
"November 2009","41573018"
"December 2009","43650676"
"January 2010","40301481"
"February 2010","36997641"
"March 2010","47619593"
"April 2010","45662026"
"May 2010","46953592"
"June 2010","50387612"
"July 2010","53095877"
"August 2010","51439494"
"September 2010","43694606"
"October 2010","47283498"
"November 2010","44351351"
"December 2010","45067193"
"January 2011","41187427"
"February 2011","38285135"
"March 2011","48992222"
"April 2011","46567367"
"May 2011","49026670"
"June 2011","51552209"
"July 2011","54459011"
"August 2011","51570695"
"September 2011","44580293"
"October 2011","46972410"
"November 2011","44780150"
"December 2011","45673434"
"January 2012","41673200"
"February 2012","40440608"
"March 2012","49693743"
"April 2012","47240812"
"May 2012","49075105"
"June 2012","51958870"
"July 2012","54239650"
"August 2012","52870440"
"September 2012","43861218"
"October 2012","46661136"
"November 2012","45148885"
"December 2012","45818788"
"January 2013","42716898"
"February 2013","40360485"
"March 2013","50591941"
"April 2013","47323333"
"May 2013","50124879"
"June 2013","52826890"
"July 2013","54754449"
"August 2013","53123236"
"September 2013","44654218"
"October 2013","47859100"
"November 2013","44420327"
"December 2013","49132874"
"January 2014","43564252"
"February 2014","40543416"
"March 2014","51862090"
"April 2014","49245759"
"May 2014","51524033"
"June 2014","53979800"
"July 2014","56874432"
"August 2014","54640576"
"September 2014","46336551"
"October 2014","50112977"
"November 2014","46352175"
"December 2014","50303173"
"January 2015","45137553"
"February 2015","42248126"
"March 2015","53924946"
"April 2015","51883047"
"May 2015","54255249"
"June 2015","56994808"
"July 2015","60430846"
"August 2015","57819224"
"September 2015","49857958"
"October 2015","54074371"
"November 2015","50913043"
"December 2015","53118963"
"January 2016","48074919"
"February 2016","46460173"
"March 2016","56704006"
"April 2016","53623642"
"May 2016","57131553"
"June 2016","60278335"
"July 2016","62349264"
"August 2016","59282193"
"September 2016","52660648"
"October 2016","55320061"
"November 2016","53280611"
"December 2016","54812269"
"January 2017","50136641"
"February 2017","46484890"
"March 2017","58791439"
"April 2017","56302476"
"May 2017","59016291"
"June 2017","62468978"
"July 2017","65035238"
"August 2017","62520313"
"September 2017","51871588"
"October 2017","58257903"
"November 2017","55883967"
"December 2017","56980320"
"January 2018","51716869"
"February 2018","49452398"
"March 2018","61707206"
"April 2018","59340837"
"May 2018","62580573"
"June 2018","66095834"
"July 2018","69091770"
"August 2018","66132066"
"September 2018","55431382"
"October 2018","61011632"
"November 2018","58779362"
"December 2018","59477976"
"January 2019","54357953"
"February 2019","51406118"
"March 2019","65407751"
"April 2019","61953259"
"May 2019","65811235"
