Date,USDYEN
1973M01,301.7865765
1973M02,277.4617796
1973M03,261.8486515
1973M04,265.4914246
1973M05,264.6482824
1973M06,264.4942869
1973M07,264.5432661
1973M08,265.2238489
1973M09,265.4773282
1973M10,266.3328628
1973M11,278.233772
1973M12,280.1748291
1974M01,297.9826574
1974M02,290.9768091
1974M03,282.0556214
1974M04,277.7700619
1974M05,278.9633721
1974M06,282.9654782
1974M07,290.9344816
1974M08,302.2791851
1974M09,299.0520051
1974M10,299.3653455
1974M11,300.0750188
1974M12,300.4085556
1975M01,299.6703626
1975M02,291.5961976
1975M03,287.927212
1975M04,292.1926134
1975M05,291.42624
1975M06,293.4530622
1975M07,296.3753297
1975M08,297.9737783
1975M09,299.8950367
1975M10,302.3340186
1975M11,302.5443984
1975M12,305.6701819
1976M01,304.6365686
1976M02,301.5954399
1976M03,300.5168891
1976M04,299.105674
1976M05,299.0072958
1976M06,299.1862135
1976M07,294.6375958
1976M08,290.6131938
1976M09,287.3563218
1976M10,291.1716748
1976M11,295.1680982
1976M12,294.6983762
1977M01,291.0445589
1977M02,285.0058426
1977M03,280.2140836
1977M04,275.1864388
1977M05,277.4232925
1977M06,272.8364073
1977M07,264.8599685
1977M08,266.673778
1977M09,266.7676827
1977M10,254.695308
1977M11,244.6662752
1977M12,241.016124
1978M01,241.0742268
1978M02,240.3655479
1978M03,231.7604524
1978M04,221.8081803
1978M05,226.1675902
1978M06,213.9298267
1978M07,199.5968144
1978M08,188.6717696
1978M09,189.9118809
1978M10,183.5616841
1978M11,192.0642878
1978M12,195.9339781
1979M01,197.7417888
1979M02,200.4932133
1979M03,206.3131834
1979M04,216.2582989
1979M05,218.3549141
1979M06,218.579235
1979M07,216.5017645
1979M08,217.9123992
1979M09,222.4050886
1979M10,230.3882041
1979M11,244.8939609
1979M12,240.3095187
1980M01,237.8630385
1980M02,244.2980827
1980M03,248.4749848
1980M04,250.1269394
1980M05,228.4889114
1980M06,217.8938813
1980M07,221.0819308
1980M08,223.8834373
1980M09,214.3907658
1980M10,209.306171
1980M11,213.0928509
1980M12,209.4354876
1981M01,202.37
1981M02,205.72
1981M03,208.79
1981M04,214.98
1981M05,220.63
1981M06,224.18
1981M07,232.33
1981M08,233.33
1981M09,229.48
1981M10,231.52
1981M11,223.13
1981M12,218.95
1982M01,224.8
1982M02,235.31
1982M03,241.23
1982M04,244.11
1982M05,236.96
1982M06,251.2
1982M07,255.03
1982M08,259.04
1982M09,263.29
1982M10,271.61
1982M11,264.09
1982M12,241.94
1983M01,232.73
1983M02,236.12
1983M03,238.25
1983M04,237.75
1983M05,234.76
1983M06,240.03
1983M07,240.52
1983M08,244.46
1983M09,242.35
1983M10,232.89
1983M11,235.03
1983M12,234.46
1984M01,233.8
1984M02,233.6
1984M03,225.27
1984M04,225.2
1984M05,230.48
1984M06,233.57
1984M07,243.07
1984M08,242.26
1984M09,245.46
1984M10,246.75
1984M11,243.63
1984M12,247.96
1985M01,254.18
1985M02,260.48
1985M03,257.92
1985M04,251.84
1985M05,251.73
1985M06,248.84
1985M07,241.14
1985M08,237.46
1985M09,236.53
1985M10,214.68
1985M11,204.07
1985M12,202.79
1986M01,199.89
1986M02,184.85
1986M03,178.69
1986M04,175.09
1986M05,167.03
1986M06,167.54
1986M07,158.61
1986M08,154.18
1986M09,154.73
1986M10,156.47
1986M11,162.85
1986M12,162.05
1987M01,154.83
1987M02,153.41
1987M03,151.43
1987M04,143
1987M05,140.48
1987M06,144.55
1987M07,150.29
1987M08,147.33
1987M09,143.29
1987M10,143.32
1987M11,135.4
1987M12,128.24
1988M01,127.69
1988M02,129.17
1988M03,127.11
1988M04,124.9
1988M05,124.79
1988M06,127.47
1988M07,133.02
1988M08,133.77
1988M09,134.32
1988M10,128.68
1988M11,123.2
1988M12,123.61
1989M01,127.36
1989M02,127.74
1989M03,130.55
1989M04,132.04
1989M05,137.86
1989M06,143.98
1989M07,140.42
1989M08,141.49
1989M09,145.07
1989M10,142.21
1989M11,143.53
1989M12,143.69
1990M01,144.98
1990M02,145.69
1990M03,153.31
1990M04,158.46
1990M05,154.04
1990M06,153.7
1990M07,149.04
1990M08,147.46
1990M09,138.44
1990M10,129.59
1990M11,129.22
1990M12,133.89
1991M01,133.7
1991M02,130.54
1991M03,137.39
1991M04,137.11
1991M05,138.22
1991M06,139.75
1991M07,137.83
1991M08,136.82
1991M09,134.3
1991M10,130.77
1991M11,129.63
1991M12,128.04
1992M01,125.46
1992M02,127.7
1992M03,132.86
1992M04,133.54
1992M05,130.77
1992M06,126.84
1992M07,125.88
1992M08,126.23
1992M09,122.6
1992M10,121.17
1992M11,123.88
1992M12,124.04
1993M01,124.99
1993M02,120.76
1993M03,117.02
1993M04,112.41
1993M05,110.34
1993M06,107.41
1993M07,107.69
1993M08,103.77
1993M09,105.57
1993M10,107.02
1993M11,107.88
1993M12,109.91
1994M01,111.44
1994M02,106.3
1994M03,105.1
1994M04,103.48
1994M05,103.75
1994M06,102.53
1994M07,98.45
1994M08,99.94
1994M09,98.77
1994M10,98.35
1994M11,98.04
1994M12,100.18
1995M01,99.77
1995M02,98.24
1995M03,90.52
1995M04,83.69
1995M05,85.11
1995M06,84.64
1995M07,87.4
1995M08,94.74
1995M09,100.55
1995M10,100.84
1995M11,101.94
1995M12,101.85
1996M01,105.75
1996M02,105.79
1996M03,105.94
1996M04,107.2
1996M05,106.34
1996M06,108.96
1996M07,109.19
