date,elec
1973M01,52840.231
1973M02,49601.308
1973M03,46314.971
1973M04,41820.951
1973M05,39824.999
1973M06,44967.106
1973M07,54122.893
1973M08,56742.07
1973M09,56209.577
1973M10,47207.37
1973M11,43181.173
1973M12,46398.725
1974M01,52878.418
1974M02,47779.428
1974M03,46095.814
1974M04,43193.401
1974M05,41105.123
1974M06,46597.044
1974M07,53540.458
1974M08,56699.323
1974M09,52947.797
1974M10,44164.147
1974M11,42671.011
1974M12,50511.729
1975M01,54311.156
1975M02,50494.721
1975M03,48238.659
1975M04,45007.466
1975M05,41293.942
1975M06,46034.082
1975M07,54325.358
1975M08,57659.412
1975M09,54719.614
1975M10,43254.661
1975M11,42288.574
1975M12,50512.748
1976M01,60492.292
1976M02,54588.492
1976M03,47295.435
1976M04,43811.363
1976M05,41281.445
1976M06,44382.377
1976M07,54029.328
1976M08,57706.13
1976M09,53771.204
1976M10,44995.879
1976M11,46986.381
1976M12,57111.756
1977M01,65757.526
1977M02,61838.613
1977M03,51172.849
1977M04,44667.736
1977M05,41824.999
1977M06,48728.714
1977M07,61377.496
1977M08,62692.036
1977M09,57629.729
1977M10,49021.329
1977M11,45241.402
1977M12,55286.542
1978M01,65906
1978M02,64579
1978M03,58781
1978M04,47396
1978M05,44012
1978M06,50832
1978M07,61747
1978M08,63843
1978M09,61984
1978M10,51108
1978M11,47220
1978M12,57058
1979M01,69939
1979M02,67842
1979M03,59314
1979M04,50079
1979M05,45730
1979M06,49556
1979M07,58606
1979M08,64808
1979M09,59703
1979M10,49505
1979M11,49617
1979M12,58120
1980M01,65841
1980M02,64514
1980M03,60497
1980M04,51749
1980M05,45699
1980M06,52267
1980M07,68611
1980M08,75020
1980M09,67969
1980M10,54014
1980M11,50539
1980M12,60775
1981M01,74087.02
1981M02,66359.158
1981M03,57660.334
1981M04,50913.727
1981M05,48347.735
1981M06,56165.248
1981M07,69989.93
1981M08,70298.901
1981M09,61098.018
1981M10,52988.676
1981M11,51964.999
1981M12,62391.279
1982M01,76263.757
1982M02,69127.77
1982M03,60498.091
1982M04,54917.765
1982M05,49091.65
1982M06,54082.562
1982M07,65703.809
1982M08,69905.832
1982M09,63052.992
1982M10,52637.846
1982M11,52135.61
1982M12,62102.084
1983M01,69966.683
1983M02,65038.686
1983M03,58911.75
1983M04,56283.958
1983M05,49669.169
1983M06,54138.011
1983M07,69964.829
1983M08,78374.347
1983M09,73197.283
1983M10,55373.796
1983M11,53703.558
1983M12,66326.164
1984M01,83556.439
1984M02,70036.462
1984M03,63855.255
1984M04,56550.063
1984M05,53687.239
1984M06,60143.169
1984M07,71242.367
1984M08,73367.333
1984M09,67667.176
1984M10,56140.248
1984M11,56720.552
1984M12,67125.357
1985M01,77530.256
1985M02,78302.711
1985M03,64219.968
1985M04,56234.704
1985M05,53039.269
1985M06,60878.733
1985M07,71231.586
1985M08,73968.616
1985M09,71329.27
1985M10,57730.433
1985M11,57006.611
1985M12,72461.691
1986M01,82899.671
1986M02,71072.217
1986M03,65431.438
1986M04,56745.725
1986M05,54360.148
1986M06,64097.877
1986M07,80505.497
1986M08,80564.736
1986M09,68662.42
1986M10,62984.778
1986M11,58691.567
1986M12,73072.241
1987M01,82209.162
1987M02,73503.446
1987M03,67432.999
1987M04,60070.335
1987M05,58553.696
1987M06,68923.482
1987M07,83829.447
1987M08,88242.625
1987M09,73508.099
1987M10,60905.099
1987M11,60064.035
1987M12,73167.826
1988M01,89582.031
1988M02,80299.017
1988M03,71465.576
1988M04,61440.528
1988M05,57617.125
1988M06,68831.723
1988M07,87079.542
1988M08,94285.101
1988M09,77594.951
1988M10,63813.792
1988M11,63681.597
1988M12,77175.158
1989M01,85220.812
1989M02,78291.68
1989M03,77347.331
1989M04,64808.536
1989M05,61212.289
1989M06,71797.894
1989M07,85741.93
1989M08,86290.421
1989M09,78859.566
1989M10,65247.757
1989M11,64955.322
1989M12,85751.096
1990M01,95453.209
1990M02,74548.196
1990M03,71945.24
1990M04,65227.836
1990M05,62904.323
1990M06,73864.277
1990M07,90839.783
1990M08,88500.321
1990M09,86164.083
1990M10,69602.164
1990M11,66464.972
1990M12,78504.295
1991M01,93909.286
1991M02,79477.861
1991M03,73893.841
1991M04,65914.966
1991M05,67282.631
1991M06,80914.275
1991M07,94501.796
1991M08,92895.007
1991M09,84485.353
1991M10,69249.488
1991M11,70937.291
1991M12,81955.555
1992M01,91495.327
1992M02,82188.781
1992M03,73783.954
1992M04,68460.966
1992M05,64793.261
1992M06,70888.945
1992M07,88689.549
1992M08,88430.247
1992M09,79560.942
1992M10,69979.894
1992M11,70111.591
1992M12,87555.331
1993M01,93777.501
1993M02,83409.791
1993M03,83056.617
1993M04,69696.717
1993M05,63877.453
1993M06,76585.892
1993M07,101066.688
1993M08,102222.442
1993M09,88920.152
1993M10,71760.12
1993M11,72716.586
1993M12,87690.859
1994M01,103777.518
1994M02,89669.866
1994M03,79920.658
1994M04,69502.06
1994M05,67169.804
1994M06,84091.084
1994M07,103601.799
1994M08,96743.002
1994M09,85348.792
1994M10,71701.826
1994M11,71089.911
1994M12,85865.362
1995M01,96572.744
1995M02,86710.928
1995M03,79475.195
1995M04,68573.738
1995M05,70081.839
1995M06,84217.843
1995M07,104020.579
1995M08,114903.396
1995M09,93900.123
1995M10,74704.409
1995M11,76926.505
1995M12,92414.172
1996M01,108620.445
1996M02,96117.55
1996M03,87040.092
1996M04,74614.669
1996M05,74538.767
1996M06,90946.827
1996M07,106125.474
1996M08,105557.334
1996M09,91585.437
1996M10,75379.288
1996M11,78254.989
1996M12,93730.877
1997M01,106136.914
1997M02,90250.608
1997M03,81421.382
1997M04,72742.693
1997M05,70778.291
1997M06,83584.675
1997M07,109331.113
1997M08,106969.521
1997M09,94801.485
1997M10,84121.858
1997M11,79993.506
1997M12,95748.044
1998M01,102540.723
1998M02,86555.7
1998M03,85985.926
1998M04,74195.027
1998M05,77518.212
1998M06,98444.505
1998M07,121472.246
1998M08,120267.59
1998M09,106640.88
1998M10,86822.931
1998M11,77017.878
1998M12,92647.504
1999M01,111219.421
1999M02,86705.02
1999M03,89449.806
1999M04,77284.992
1999M05,77151.744
1999M06,95915.315
1999M07,123125.527
1999M08,123959.802
1999M09,104054.558
1999M10,82605.199
1999M11,78288.256
1999M12,95163.428
2000M01,109492.092
2000M02,98445.856
2000M03,84645.024
2000M04,76228.447
2000M05,83366.309
2000M06,103976.431
2000M07,119475.312
2000M08,123769.355
2000M09,108546.418
2000M10,86831.636
2000M11,84516.247
2000M12,113153.364
2001M01,127080.028
2001M02,99875.586
2001M03,92816.131
2001M04,82438.262
2001M05,81755.576
2001M06,99409.924
2001M07,120695.088
2001M08,129189.801
2001M09,105956.424
2001M10,85424.56
2001M11,80798.47
2001M12,96166.742
