date,lip
1980-01,3.947828277
1980-02,3.948399292
1980-03,3.945204364
1980-04,3.924767449
1980-05,3.900219619
1980-06,3.88773646
1980-07,3.881190532
1980-08,3.883880699
1980-09,3.900098187
1980-10,3.912428923
1980-11,3.929711635
1980-12,3.935516851
1981-01,3.930029904
1981-02,3.925107035
1981-03,3.930422688
1981-04,3.925983108
1981-05,3.932272592
1981-06,3.936817076
1981-07,3.943238687
1981-08,3.943071959
1981-09,3.936785859
1981-10,3.929858994
1981-11,3.918647018
1981-12,3.907549012
1982-01,3.887785639
1982-02,3.907072773
1982-03,3.899626485
1982-04,3.890791197
1982-05,3.884627142
1982-06,3.881349342
1982-07,3.878098005
1982-08,3.869814634
1982-09,3.866640628
1982-10,3.857701974
1982-11,3.853811096
1982-12,3.846558189
1983-01,3.865342215
1983-02,3.859276023
1983-03,3.867318484
1983-04,3.879398569
1983-05,3.886329742
1983-06,3.892010076
1983-07,3.907096892
1983-08,3.918176037
1983-09,3.933367581
1983-10,3.941438108
1983-11,3.944832828
1983-12,3.949806147
1984-01,3.969597333
1984-02,3.97436662
1984-03,3.979029105
1984-04,3.985433306
1984-05,3.990092691
1984-06,3.993569812
1984-07,3.99687689
1984-08,3.997497702
1984-09,3.995946787
1984-10,3.994634718
1984-11,3.998455715
1984-12,3.999508104
1985-01,3.997045907
1985-02,4.001249261
1985-03,4.002695174
1985-04,4.000110803
1985-05,4.001465093
1985-06,4.002154344
1985-07,3.995242201
1985-08,3.999497109
1985-09,4.003936514
1985-10,3.999880025
1985-11,4.003177289
1985-12,4.013517658
1986-01,4.018294706
1986-02,4.011127795
1986-03,4.004636826
1986-04,4.005220045
1986-05,4.007200449
1986-06,4.003991244
1986-07,4.010374012
1986-08,4.008163749
1986-09,4.010062185
1986-10,4.01452183
1986-11,4.01924918
1986-12,4.027729219
1987-01,4.024778312
1987-02,4.037377307
1987-03,4.038905845
1987-04,4.045100045
1987-05,4.051671898
1987-06,4.056481727
1987-07,4.063065431
1987-08,4.071069112
1987-09,4.073694476
1987-10,4.088249357
1987-11,4.093684344
1987-12,4.098557343
1988-01,4.099053458
1988-02,4.103115981
1988-03,4.105398245
1988-04,4.110675484
1988-05,4.109528698
1988-06,4.112127177
1988-07,4.112614971
1988-08,4.1172551
1988-09,4.114362853
1988-10,4.119071321
1988-11,4.120859903
1988-12,4.125416782
1989-01,4.128285335
1989-02,4.124000447
1989-03,4.126505155
1989-04,4.127402091
1989-05,4.120062665
1989-06,4.120708947
1989-07,4.111041063
1989-08,4.120046421
1989-09,4.117154102
1989-10,4.115947855
1989-11,4.119274545
1989-12,4.125145311
1990-01,4.118845286
1990-02,4.128227336
1990-03,4.133546044
1990-04,4.132534295
1990-05,4.134148439
1990-06,4.13739128
1990-07,4.13625876
1990-08,4.13886212
1990-09,4.140922758
1990-10,4.133211046
1990-11,4.12126234
1990-12,4.114470667
1991-01,4.109909465
1991-02,4.103292741
1991-03,4.097911526
1991-04,4.100081408
1991-05,4.109970177
1991-06,4.119214395
1991-07,4.11928755
1991-08,4.120657
1991-09,4.129249888
1991-10,4.127006958
1991-11,4.126051541
1991-12,4.122232066
1992-01,4.116044082
1992-02,4.123296384
1992-03,4.131990318
1992-04,4.138919506
1992-05,4.142304223
1992-06,4.142075435
1992-07,4.150986361
1992-08,4.146198283
1992-09,4.148475992
1992-10,4.15614653
1992-11,4.160333593
1992-12,4.16100427
1993-01,4.165765594
1993-02,4.169448943
1993-03,4.168988105
1993-04,4.171982843
1993-05,4.168321216
1993-06,4.170098084
1993-07,4.172983208
1993-08,4.17236831
1993-09,4.177083631
1993-10,4.1847092
1993-11,4.188766469
1993-12,4.193922893
1994-01,4.197994115
1994-02,4.198302094
1994-03,4.208492852
1994-04,4.213798793
1994-05,4.219420937
1994-06,4.226142996
1994-07,4.227817203
1994-08,4.233417862
1994-09,4.236951728
1994-10,4.24534027
1994-11,4.251506418
1994-12,4.261728721
1995-01,4.263768017
1995-02,4.26282212
1995-03,4.264277192
1995-04,4.263981846
1995-05,4.266946817
1995-06,4.270910699
1995-07,4.266820588
1995-08,4.280076962
1995-09,4.283792058
1995-10,4.282333363
1995-11,4.284825794
1995-12,4.288638606
1996-01,4.282008766
1996-02,4.29750579
1996-03,4.29611874
1996-04,4.304758096
1996-05,4.311888465
1996-06,4.320225696
1996-07,4.318258483
1996-08,4.324446514
1996-09,4.330841229
1996-10,4.330084446
1996-11,4.338678013
1996-12,4.344924276
1997-01,4.346487536
1997-02,4.358528964
1997-03,4.365522437
1997-04,4.36625542
1997-05,4.372512771
1997-06,4.377441137
1997-07,4.385953913
1997-08,4.395664465
1997-09,4.404493602
1997-10,4.41340417
1997-11,4.422225235
1997-12,4.425410545
1998-01,4.430482219
1998-02,4.431319054
1998-03,4.432118332
1998-04,4.435591098
1998-05,4.441748496
1998-06,4.435209518
1998-07,4.431421378
1998-08,4.452012013
1998-09,4.449448105
1998-10,4.457145703
1998-11,4.456739781
1998-12,4.460242675
1999-01,4.464892661
1999-02,4.469410026
1999-03,4.471327888
1999-04,4.473259194
1999-05,4.480926953
1999-06,4.479355231
1999-07,4.485676939
1999-08,4.489729031
1999-09,4.486178295
1999-10,4.499464055
1999-11,4.504359305
1999-12,4.511966586
2000-01,4.512334243
2000-02,4.515316592
2000-03,4.51959269
2000-04,4.526905896
2000-05,4.529055587
2000-06,4.529840853
2000-07,4.528661642
2000-08,4.525251054
2000-09,4.529043717
2000-10,4.525570547
2000-11,4.525500159
2000-12,4.522516573
2001-01,4.515197337
2001-02,4.5089588
2001-03,4.506000468
2001-04,4.503008991
2001-05,4.495706821
2001-06,4.489047521
2001-07,4.483702872
2001-08,4.481693221
2001-09,4.478171693
2001-10,4.473193014
2001-11,4.467759278
2001-12,4.467933652
2002-01,4.474095202
2002-02,4.474235419
2002-03,4.48202128
2002-04,4.486519524
2002-05,4.490818257
2002-06,4.500350635
2002-07,4.497992465
2002-08,4.49818947
2002-09,4.499196149
2002-10,4.496058198
2002-11,4.501150993
2002-12,4.49635259
2003-01,4.503074336
2003-02,4.505876784
2003-03,4.503787305
2003-04,4.495972317
2003-05,4.496446243
2003-06,4.496825221
2003-07,4.502752004
2003-08,4.500207369
2003-09,4.505893349
2003-10,4.506605416
2003-11,4.514195693
2003-12,4.513070248
2004-01,4.515716921
2004-02,4.520967588
2004-03,4.515788001
2004-04,4.519566545
2004-05,4.527147021
2004-06,4.519059857
2004-07,4.526720958
2004-08,4.527027006
2004-09,4.527723107
2004-10,4.537288483
2004-11,4.539357253
2004-12,4.546166188
2005-01,4.550857601
2005-02,4.557286861
2005-03,4.556402122
2005-04,4.557744141
2005-05,4.559472784
2005-06,4.563431104
2005-07,4.56147114
2005-08,4.563001452
2005-09,4.542934079
2005-10,4.55577614
2005-11,4.565573482
2005-12,4.571292772
2006-01,4.572498223
2006-02,4.572916586
2006-03,4.575475635
2006-04,4.579236804
2006-05,4.577801045
2006-06,4.581647689
2006-07,4.58176849
2006-08,4.585108285
2006-09,4.583356999
2006-10,4.582985925
2006-11,4.581708091
2006-12,4.591423127
2007-01,4.586696595
2007-02,4.597494805
2007-03,4.598856295
2007-04,4.606089763
2007-05,4.606526266
2007-06,4.606464348
2007-07,4.606925644
2007-08,4.608192614
2007-09,4.612014709
2007-10,4.607136252
2007-11,4.612786111
2007-12,4.612549889
2008-01,4.610079117
2008-02,4.607380741
2008-03,4.604711081
2008-04,4.597485736
2008-05,4.592855673
2008-06,4.590858257
2008-07,4.585950669
2008-08,4.570510416
2008-09,4.527521028
2008-10,4.535978723
2008-11,4.52310293
2008-12,4.494322421
2009-01,4.47207527
2009-02,4.464892661
2009-03,4.449868678
2009-04,4.442042836
2009-05,4.431408291
2009-06,4.427621222
2009-07,4.43754412
2009-08,4.447035748
2009-09,4.454333343
2009-10,4.4579165
2009-11,4.461765065
2009-12,4.465103197
2010-01,4.477223172
2010-02,4.479869967
2010-03,4.487425525
2010-04,4.491361866
2010-05,4.506841555
2010-06,4.509107423
2010-07,4.515389888
2010-08,4.518227898
2010-09,4.520859885
2010-10,4.517754364
2010-11,4.519729938
2010-12,4.528173584
2011-01,4.528423042
2011-02,4.52289123
2011-03,4.532808074
2011-04,4.528090418
2011-05,4.53125881
2011-06,4.533608661
2011-07,4.539988258
2011-08,4.54485208
2011-09,4.545872309
2011-10,4.551008571
2011-11,4.552111123
2011-12,4.555976791
2012-01,4.564504429
2012-02,4.568246832
2012-03,4.564417981
2012-04,4.57261187
2012-05,4.575868041
2012-06,4.57637763
2012-07,4.581963993
2012-08,4.575891724
2012-09,4.578687597
2012-10,4.577913063
2012-11,4.587613974
2012-12,4.588604733
2013-01,4.589126166
2013-02,4.595562177
2013-03,4.600037034
2013-04,4.598258354
2013-05,4.599315078
2013-06,4.601245494
2013-07,4.599586627
2013-08,4.605157186
2013-09,4.612321554
2013-10,4.61332683
2013-11,4.618826512
2013-12,4.620622187
2014-01,4.618146627
2014-02,4.627486318
2014-03,4.635756615
2014-04,4.636557413
2014-05,4.641346848
2014-06,4.645400005
2014-07,4.648872189
2014-08,4.648721891
2014-09,4.656172188
2014-10,4.655173899
2014-11,4.666533359
2014-12,4.663707926
