DATE,LNS11300002,LNS11300001
1948-01-01,32,86.7
1948-02-01,32.4,87
1948-03-01,32.1,86.3
1948-04-01,33,86.6
1948-05-01,32,86.1
1948-06-01,33.4,86.6
1948-07-01,33.4,86.7
1948-08-01,32.7,86.7
1948-09-01,33,86.3
1948-10-01,32.4,86.6
1948-11-01,32.6,86.5
1948-12-01,33,86.9
1949-01-01,32.6,86.5
1949-02-01,33,86.6
1949-03-01,33,86.5
1949-04-01,32.8,86.6
1949-05-01,33.1,86.6
1949-06-01,32.8,86.2
1949-07-01,33.4,86.1
1949-08-01,33.5,86.6
1949-09-01,33.4,86.6
1949-10-01,33.6,87.4
1949-11-01,33.7,86.8
1949-12-01,33.5,86.6
1950-01-01,33.4,86.2
1950-02-01,33.4,86.1
1950-03-01,33.2,85.9
1950-04-01,33.9,86.2
1950-05-01,33.6,86.3
1950-06-01,34.2,86.2
1950-07-01,33.7,86.1
1950-08-01,34.1,86.5
1950-09-01,33.7,86.5
1950-10-01,34.3,86.4
1950-11-01,34.4,86.3
1950-12-01,34,86.3
1951-01-01,34.3,86
1951-02-01,34.2,86.3
1951-03-01,35,86.9
1951-04-01,34.4,86.3
1951-05-01,34.7,86.6
1951-06-01,34.2,86.4
1951-07-01,35.2,86.3
1951-08-01,34.7,86.5
1951-09-01,34.4,86.4
1951-10-01,34.8,86.8
1951-11-01,34.7,86.5
1951-12-01,35.1,86.8
1952-01-01,35,86.8
1952-02-01,34.9,87
1952-03-01,34.1,86.5
1952-04-01,34.3,86.3
1952-05-01,34.7,86.4
1952-06-01,34.6,86.4
1952-07-01,34.4,86.3
1952-08-01,34.4,85.9
1952-09-01,35.4,85.9
1952-10-01,34.6,85.6
1952-11-01,35.4,85.6
1952-12-01,34.8,86.4
1953-01-01,35.1,86.5
1953-02-01,34.9,86.8
1953-03-01,35.2,86.8
1953-04-01,34.6,86.3
1953-05-01,34,85.8
1953-06-01,34.7,85.8
1953-07-01,34.6,85.9
1953-08-01,34.2,85.7
1953-09-01,34.3,85.4
1953-10-01,34.4,85.4
1953-11-01,33.9,85.9
1953-12-01,33.6,85.8
1954-01-01,33.9,85.8
1954-02-01,35,86.2
1954-03-01,35.1,85.6
1954-04-01,35,86
1954-05-01,34.6,85.7
1954-06-01,34.4,85.3
1954-07-01,34.1,85.4
1954-08-01,34.3,85.9
1954-09-01,34.9,86
1954-10-01,34.8,85.5
1954-11-01,34.6,85.2
1954-12-01,34.1,84.8
1955-01-01,34.7,85
1955-02-01,34.5,84.8
1955-03-01,34.5,85
1955-04-01,35.3,85.2
1955-05-01,35,85.1
1955-06-01,35.2,84.8
1955-07-01,35.8,85.3
1955-08-01,36.4,85.4
1955-09-01,36.2,85.6
1955-10-01,36.4,85.7
1955-11-01,36.5,85.8
1955-12-01,37,85.9
1956-01-01,36.7,86.1
1956-02-01,36.3,85.9
1956-03-01,36.4,85.8
1956-04-01,36.6,85.6
1956-05-01,37.1,85.8
1956-06-01,37,85.7
1956-07-01,37.2,85.5
1956-08-01,37,85.4
1956-09-01,37.1,85.2
1956-10-01,36.9,85
1956-11-01,36.9,85.2
1956-12-01,36.9,85
1957-01-01,36.6,84.8
1957-02-01,37.1,85
1957-03-01,36.9,85.2
1957-04-01,36.5,85
1957-05-01,36.6,84.9
1957-06-01,36.8,85.2
