Date,NYSEVOL,RTRR,,,,
1900-01-01,5.86,NA,,,,
1900-02-01,7.02,NA,,,,
1900-03-01,10.11,NA,,,,
1900-04-01,10.56,NA,,,,
1900-05-01,6.61,NA,,,,
1900-06-01,5.55,NA,,,,
1900-07-01,4.38,NA,,,,
1900-08-01,2.72,NA,,,,
1900-09-01,3.8,NA,,,,
1900-10-01,8.04,NA,,,,
1900-11-01,17.29,NA,,,,
1900-12-01,19.13,NA,,,,
1901-01-01,26.04,NA,,,,
1901-02-01,17.85,NA,,,,
1901-03-01,21.94,NA,,,,
1901-04-01,34.9,NA,,,,
1901-05-01,31.12,NA,,,,
1901-06-01,16.78,NA,,,,
1901-07-01,14.35,NA,,,,
1901-08-01,9.14,NA,,,,
1901-09-01,11.12,NA,,,,
1901-10-01,10.96,NA,,,,
1901-11-01,15.32,NA,,,,
1901-12-01,12.29,NA,,,,
1902-01-01,11.86,NA,,,,
1902-02-01,10.36,NA,,,,
1902-03-01,9.27,NA,,,,
1902-04-01,22.4,NA,,,,
1902-05-01,11.79,NA,,,,
1902-06-01,6.78,NA,,,,
1902-07-01,14.71,NA,,,,
1902-08-01,13.12,NA,,,,
1902-09-01,19.25,NA,,,,
1902-10-01,14.45,NA,,,,
1902-11-01,15.1,NA,,,,
1902-12-01,13.83,NA,,,,
1903-01-01,14.19,NA,,,,
1903-02-01,8.73,NA,,,,
1903-03-01,12.39,NA,,,,
1903-04-01,10.41,NA,,,,
1903-05-01,10.61,NA,,,,
1903-06-01,13.52,NA,,,,
1903-07-01,13.16,NA,,,,
1903-08-01,12.9,NA,,,,
1903-09-01,9.47,NA,,,,
1903-10-01,10.51,NA,,,,
1903-11-01,9.32,NA,,,,
1903-12-01,12.51,NA,,,,
1904-01-01,10.21,NA,,,,
1904-02-01,7.29,NA,,,,
1904-03-01,10.09,NA,,,,
1904-04-01,7.32,NA,,,,
1904-05-01,4.32,NA,,,,
1904-06-01,4.17,NA,,,,
1904-07-01,10.74,NA,,,,
1904-08-01,9.78,NA,,,,
1904-09-01,16.64,NA,,,,
1904-10-01,28.72,NA,,,,
1904-11-01,26.58,NA,,,,
1904-12-01,21.72,NA,,,,
1905-01-01,17.91,NA,,,,
1905-02-01,22.34,NA,,,,
1905-03-01,23.8,NA,,,,
1905-04-01,22.63,NA,,,,
1905-05-01,16.71,NA,,,,
1905-06-01,9.95,NA,,,,
1905-07-01,11.44,NA,,,,
1905-08-01,17.25,NA,,,,
1905-09-01,13.78,NA,,,,
1905-10-01,13.81,NA,,,,
1905-11-01,20.1,NA,,,,
1905-12-01,20.79,NA,,,,
1906-01-01,29.99,NA,,,,
1906-02-01,15.95,NA,,,,
1906-03-01,13.68,NA,,,,
1906-04-01,17.92,NA,,,,
1906-05-01,16.54,NA,,,,
1906-06-01,15.64,NA,,,,
1906-07-01,12.51,NA,,,,
1906-08-01,26.39,NA,,,,
1906-09-01,21.38,NA,,,,
1906-10-01,17.71,NA,,,,
1906-11-01,17.22,NA,,,,
1906-12-01,16.8,NA,,,,
1907-01-01,18.16,NA,,,,
1907-02-01,12.87,NA,,,,
1907-03-01,26.07,NA,,,,
1907-04-01,14.97,NA,,,,
1907-05-01,12.9,NA,,,,
1907-06-01,8.19,NA,,,,
1907-07-01,10.94,NA,,,,
1907-08-01,12.3,NA,,,,
1907-09-01,9.14,NA,,,,
1907-10-01,13.63,NA,,,,
1907-11-01,7.89,NA,,,,
1907-12-01,9.82,NA,,,,
1908-01-01,13.13,NA,,,,
1908-02-01,7.71,NA,,,,
1908-03-01,12.73,NA,,,,
1908-04-01,9.64,NA,,,,
1908-05-01,17.83,NA,,,,
1908-06-01,8.12,NA,,,,
1908-07-01,11.28,NA,,,,
1908-08-01,15.03,NA,,,,
1908-09-01,15.15,NA,,,,
1908-10-01,12.47,NA,,,,
1908-11-01,22.38,NA,,,,
1908-12-01,19.76,NA,,,,
1909-01-01,15.23,NA,,,,
1909-02-01,10.98,NA,,,,
1909-03-01,12.35,NA,,,,
1909-04-01,17.7,NA,,,,
1909-05-01,15.39,NA,,,,
1909-06-01,19.21,NA,,,,
1909-07-01,12.35,NA,,,,
1909-08-01,23.21,NA,,,,
1909-09-01,19.2,NA,,,,
1909-10-01,20.45,NA,,,,
1909-11-01,15.65,NA,,,,
1909-12-01,16.09,NA,,,,
1910-01-01,22.53,NA,,,,
1910-02-01,14.99,NA,,,,
1910-03-01,14.49,NA,,,,
1910-04-01,13.99,NA,,,,
1910-05-01,11.89,NA,,,,
1910-06-01,16.46,NA,,,,
1910-07-01,14.39,NA,,,,
1910-08-01,10.47,NA,,,,
1910-09-01,7.69,NA,,,,
1910-10-01,13.37,NA,,,,
1910-11-01,10.75,NA,,,,
1910-12-01,10.07,NA,,,,
1911-01-01,10.31,NA,,,,
1911-02-01,10.1,NA,,,,
1911-03-01,6.89,NA,,,,
